country,city,operator
"Austria","Graz","Getaround Graz"
"Austria","Innsbruck","Getaround Innsbruck"
"Belgium","Aalst","Getaround Aalst"
"Belgium","Antwerpen","Getaround Antwerpen"
"Belgium","Charleroi","Getaround Charleroi"
"Belgium","Gent","Getaround Gent"
"Belgium","Hove","Getaround Hove"
"Belgium","Leuven","Getaround Leuven"
"Belgium","Mechelen","Getaround Mechelen"
"Belgium","Seraing","Getaround Seraing"
"Belgium","Waterloo","Getaround Waterloo"
"Canada","Montreal","LocoMotion Montreal"
"Canada","Sherbrooke","LocoMotion Sherbrooke"
"France","Aix-En-Provence","Getaround Aix-En-Provence"
"France","Ajaccio","Getaround Ajaccio"
"France","Albi","Getaround Albi"
"France","Amiens","Getaround Amiens"
"France","Angers","Citiz Angers"
"France","Angers","Getaround Angers"
"France","Antibes","Getaround Antibes"
"France","Antony","Getaround Antony"
"France","Argenteuil","Getaround Argenteuil"
"France","Arles","Getaround Arles"
"France","Aubervilliers","Getaround Aubervilliers"
"France","Aulnay-Sous-Bois","Getaround Aulnay-Sous-Bois"
"France","Avignon","Getaround Avignon"
"France","Bayeux","Getaround Bayeux"
"France","Bayonne","Citiz AUPA"
"France","Bayonne","Getaround Bayonne"
"France","Beaumont","Getaround Beaumont"
"France","Beauvais","Getaround Beauvais"
"France","Belfort","Optymo Belfort Auto libre-service"
"France","Besançon","Citiz BFC"
"France","Blois","Getaround Blois"
"France","Bordeaux","Citiz Gironde"
"France","Bordeaux","Getaround Bordeaux"
"France","Boulogne-Billancourt","Getaround Boulogne-Billancourt"
"France","Bourges","Getaround Bourges"
"France","Brest","Getaround Brest"
"France","Brive-La-Gaillarde","Getaround Brive-La-Gaillarde"
"France","Caen","Getaround Caen"
"France","Calais","Getaround Calais"
"France","Cannes","Getaround Cannes"
"France","Cergy","Getaround Cergy"
"France","Champigny-Sur-Marne","Getaround Champigny-Sur-Marne"
"France","Clamart","Getaround Clamart"
"France","Clermont-Ferrand","Getaround Clermont-Ferrand"
"France","Clichy","Getaround Clichy"
"France","Colmar","Getaround Colmar"
"France","Colombes","Getaround Colombes"
"France","Courbevoie","Getaround Courbevoie"
"France","Dijon","Getaround Dijon"
"France","Drancy","Getaround Drancy"
"France","Dunkerque","Getaround Dunkerque"
"France","Fontenay-Sous-Bois","Getaround Fontenay-Sous-Bois"
"France","France","Citiz Développement"
"France","France","Clem"
"France","Grenoble","Citiz Alpes Loire"
"France","Grenoble","Getaround Grenoble"
"France","Issy-Les-Moulineaux","Getaround Issy-Les-Moulineaux"
"France","Ivry-Sur-Seine","Getaround Ivry-Sur-Seine"
"France","La Rochelle","Citiz La Rochelle"
"France","Laval","Getaround Laval"
"France","Le Puy-en-Velay","Auto-en-Velay"
"France","Levallois-Perret","Getaround Levallois-Perret"
"France","Lille","Citiz Lille Arras"
"France","Lille","Getaround Lille"
"France","Limay","Getaround Limay"
"France","Limoges","Getaround Limoges"
"France","Lorient","Getaround Lorient"
"France","Lyon","Citiz Métropole Lyon"
"France","Lyon","Getaround Lyon"
"France","Lyon","Leo and Go"
"France","Macau","Getaround Macau"
