country,city,operator,quality
"Argentina","Almirante Brown","AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT","Realtime routing"
"Argentina","Almirante Brown","EMPRESA DE TRANSPORTE DEL SUR SRL","Realtime routing"
"Argentina","Almirante Brown","EXPRESO VILLA GALICIA SAN JOSE S.A.","Realtime routing"
"Argentina","Almirante Brown","GENERAL TOMAS GUIDO S.A.C.I.F.","Realtime routing"
"Argentina","Almirante Brown","MICRO OMNIBUS MITRE S.A.","Realtime routing"
"Argentina","Almirante Brown","MICRO OMNIBUS SUR S.A.C.","Realtime routing"
"Argentina","Almirante Brown","SAN VICENTE S.A. DE TRANSPORTES","Realtime routing"
"Argentina","Almirante Brown","TRANSPORTE AUTOMOTORES LA PLATA SA","Realtime routing"
"Argentina","Almirante Brown","Unidad de Gestión Operativa Ferroviária de Emergencia","Estimated routing"
"Argentina","Avellaneda","COMPAÑIA MICROOMNIBUS LA COLORADA SACI","Realtime routing"
"Argentina","Avellaneda","COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278","Realtime routing"
"Argentina","Avellaneda","EL NUEVO HALCON S.A.","Realtime routing"
"Argentina","Avellaneda","EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.","Realtime routing"
"Argentina","Avellaneda","EMPRESA ANTARTIDA ARGENTINA S.A.T.","Realtime routing"
"Argentina","Avellaneda","EXPRESO NUEVE DE JULIO S.A.","Realtime routing"
"Argentina","Avellaneda","EXPRESO QUILMES S.A.","Realtime routing"
"Argentina","Avellaneda","EXPRESO VILLA GALICIA SAN JOSE S.A.","Realtime routing"
"Argentina","Avellaneda","GENERAL TOMAS GUIDO S.A.C.I.F.","Realtime routing"
"Argentina","Avellaneda","LA CENTRAL DE VICENTE LOPEZ S.A.","Realtime routing"
"Argentina","Avellaneda","LINEA 10 S.A.","Realtime routing"
"Argentina","Avellaneda","LINEA 17 S.A.","Realtime routing"
"Argentina","Avellaneda","LINEA 22 S.A.","Realtime routing"
"Argentina","Avellaneda","MICRO OMNIBUS O´HIGGINS S.A.T.","Realtime routing"
"Argentina","Avellaneda","MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.","Realtime routing"
"Argentina","Avellaneda","SAN VICENTE S.A. DE TRANSPORTES","Realtime routing"
"Argentina","Avellaneda","TRANSPORTE LARRAZABAL C.I.S.A.","Realtime routing"
"Argentina","Avellaneda","TRANSPORTES 1º SEPTIEMBRE S.A.","Realtime routing"
"Argentina","Avellaneda","TRANSPORTES ALMIRANTE BROWN S.A.","Realtime routing"
"Argentina","Avellaneda","TRANSPORTES AUTOMOTORES RIACHUELO S.A.","Realtime routing"
"Argentina","Avellaneda","Unidad de Gestión Operativa Ferroviária de Emergencia","Estimated routing"
